season,target,MAE,RMSE,R2
1996,FinishPosition,4.483171524234147,5.175131935913497,0.186740859773321
1997,FinishPosition,4.659033563565913,5.451956538100983,0.2010188109099872
1998,FinishPosition,4.25559115765263,5.092774474056176,0.290260161010077
1999,FinishPosition,4.518990645187901,5.460265386357066,0.17526808068875488
2000,FinishPosition,4.3976362371866315,5.288976037487385,0.253502367808093
2001,FinishPosition,4.5486764243894955,5.5532894324676825,0.17669928172570903
2002,FinishPosition,4.136287510007149,4.924471693672621,0.31064041962759315
2003,FinishPosition,3.954562263940501,4.900023328796043,0.22762178406957445
2004,FinishPosition,3.593616876961556,4.555321943412553,0.3511892659304773
2005,FinishPosition,4.038313910230184,4.976330498542653,0.2193241069543561
2006,FinishPosition,3.860891143377732,4.891088674972629,0.3493793273838999
2007,FinishPosition,3.6653683872902363,4.7282459220031905,0.43012166485400705
2008,FinishPosition,3.740889853104853,4.686679623207057,0.32802530115482553
2009,FinishPosition,3.547752740033382,4.472146939671322,0.36002437669348686
2010,FinishPosition,3.896727077902357,4.929888727468044,0.44908075786789114
2011,FinishPosition,3.6120491603915106,4.8410649334322,0.4950640971583071
2012,FinishPosition,3.813793380002756,5.234601695665844,0.39524026583297545
2013,FinishPosition,3.292409264546369,4.4709202288188346,0.493849478097211
2014,FinishPosition,3.1147589283495107,4.223766205543424,0.5140677853287943
2015,FinishPosition,3.152089636435635,4.043918637596709,0.47912244262826875
2016,FinishPosition,3.136024548151679,4.119872522729735,0.5584226395758242
2017,FinishPosition,3.0744367420484218,3.8553354156835073,0.5156232960022636
2018,FinishPosition,3.155397963135724,4.137630107678335,0.4512434398700088
2019,FinishPosition,3.155285905853581,4.089274463155183,0.49581507707540107
2020,FinishPosition,3.2459465210574394,4.134972138897198,0.4646271648322968
2021,FinishPosition,2.9980048130444508,3.9186074571423393,0.519950104874519
2022,FinishPosition,3.217928189053595,4.224810515660127,0.4444518019789101
2023,FinishPosition,3.1236642265412304,4.095844513882576,0.4768109996481714
2024,FinishPosition,2.8415982943813844,3.6900971034080357,0.5738801017123352
1996,AvgLapTime,7.172699719214263,12.446263022901048,0.09772563087926533
1997,AvgLapTime,9.060404080814056,15.052223090796252,0.34972984473244717
1998,AvgLapTime,6.826718184650993,11.021679865573168,0.43067888629317286
1999,AvgLapTime,6.015364662863447,11.165380597985509,0.09181985418775274
2000,AvgLapTime,5.077437019096739,11.775842909546727,0.4816150997822771
2001,AvgLapTime,6.77034618040609,21.9175733072924,0.17505952270899106
2002,AvgLapTime,6.396864749360399,9.9847851370257,0.3902931229419033
2003,AvgLapTime,6.766769730624707,17.28527743034076,-1.1666314650561227
2004,AvgLapTime,6.0459147213980104,7.872669354357821,0.5298962965125298
2005,AvgLapTime,4.1385495871616,6.6274953575378195,0.7580530362102307
2006,AvgLapTime,5.578574369181939,9.488923193839549,0.30491210566335736
2007,AvgLapTime,8.755815201484843,15.535227058769912,0.2203939399059579
2008,AvgLapTime,8.151503542455757,12.441387179555678,-0.017495745748681735
2009,AvgLapTime,11.316061329821446,16.856255372350127,-0.47915289024636865
2010,AvgLapTime,18.08955411491958,35.91260828072376,-0.2802357519916874
2011,AvgLapTime,17.051192285555892,38.7016757689316,-0.5201151280739684
2012,AvgLapTime,15.396040172427968,32.09725689775395,-1.1761319376032233
2013,AvgLapTime,9.262180678956707,16.171762570330834,-0.9291138399362397
2014,AvgLapTime,12.568489800883935,33.67481215525901,0.11517011283278578
2015,AvgLapTime,8.803056482114425,13.828845474018037,0.2189862629347954
2016,AvgLapTime,11.878770468137901,20.943234262356782,-0.027468363121720962
2017,AvgLapTime,12.22272878738947,17.673563738006553,0.1678585554170101
2018,AvgLapTime,7.102774613247693,10.22824641672423,0.547858346244219
2019,AvgLapTime,5.76803531505784,8.755161601464222,0.5848049428390163
2020,AvgLapTime,15.510969041793032,40.93083500941616,0.01535529221002252
2021,AvgLapTime,19.117113162232197,39.807467793930634,0.18371865208544724
2022,AvgLapTime,13.030320858822948,20.39035322517976,0.0943498570182345
2023,AvgLapTime,12.92209914015868,22.382263798661924,-0.43483126975132746
2024,AvgLapTime,9.635649432462008,14.626903233730536,0.05788516985940906
1996,ConstructorPoints,1.3860315265590248,2.1759324014277084,0.29863097818924034
1997,ConstructorPoints,1.3569116543858086,2.189510734083782,0.2623631631362562
1998,ConstructorPoints,1.1602599802607327,1.9097026926432938,0.4392653833192127
1999,ConstructorPoints,1.3037447683186387,2.180073801220386,0.2731394514119776
2000,ConstructorPoints,1.0997780068794538,1.8705153903782523,0.46022397577369156
2001,ConstructorPoints,1.2118715823686312,2.014048720149433,0.374629602133846
2002,ConstructorPoints,1.0738324453914994,1.7376313431455195,0.545458765043437
2003,ConstructorPoints,1.6029060432244178,2.404607485375766,0.37538463067106054
2004,ConstructorPoints,1.4997059658252783,2.1160810260287923,0.5135646014010281
2005,ConstructorPoints,1.750607101379346,2.458528609551463,0.35922149634216727
2006,ConstructorPoints,1.317484566343131,2.0021561697231274,0.5481777080426855
2007,ConstructorPoints,1.149753536632157,1.7464882274648188,0.6460801452212042
2008,ConstructorPoints,1.650308608863939,2.43270168908,0.3498703302515883
2009,ConstructorPoints,1.643374057958862,2.2652704980077485,0.41320533918858304
2010,ConstructorPoints,3.7840764896228145,6.510894280049356,0.1220106137812258
2011,ConstructorPoints,2.46192565349847,3.9694114156887226,0.6670545159009282
2012,ConstructorPoints,3.309060708575631,5.274451456178349,0.4181743970468915
2013,ConstructorPoints,2.9288425082195975,4.478617727602973,0.5957194250379341
2014,ConstructorPoints,3.1218881773867766,5.242859091588824,0.5393855015377533
2015,ConstructorPoints,2.9555588122683654,4.209504919676094,0.6670405471909958
2016,ConstructorPoints,2.388022050923484,3.7915414973795922,0.7132921224526405
2017,ConstructorPoints,2.796160876028853,4.23505573020523,0.6615884540475234
2018,ConstructorPoints,2.8328209593343665,4.4970675711524315,0.6152139830072103
2019,ConstructorPoints,2.7270321773672026,4.08249994098751,0.6852761405653405
2020,ConstructorPoints,3.5316228547440063,5.199227314970178,0.49497580139205954
2021,ConstructorPoints,3.049180055096183,4.7268863560227095,0.5708632456583475
2022,ConstructorPoints,2.9682762612062716,4.53249928490502,0.6159440230194072
2023,ConstructorPoints,2.8760057133092998,4.246310697826655,0.6620472446246053
2024,ConstructorPoints,2.6666663945111413,4.219064801470039,0.6656085610675256
