year,constructorId,constructor_points_season
1965,186,0.0
1966,6,42.0
1966,11,3.0
1966,66,34.0
1966,91,0.0
1966,167,49.0
1966,172,8.0
1966,176,13.0
1966,181,1.0
1966,183,1.0
1966,187,2.0
1966,188,1.0
1966,189,4.0
1966,190,0.0
1966,191,63.0
1966,192,0.0
1967,6,23.0
1967,11,20.0
1967,26,0.0
1967,66,21.0
1967,82,0.0
1967,90,0.0
1967,167,31.0
1967,170,6.0
1967,172,0.0
1967,176,6.0
1967,180,50.0
1967,182,0.0
1967,183,2.0
1967,184,0.0
1967,187,0.0
1967,189,0.0
1967,190,13.0
1967,191,100.0
1967,193,0.0
1967,194,3.0
1968,1,0.0
1968,6,37.0
1968,11,14.0
1968,26,0.0
1968,66,28.0
1968,82,8.0
1968,89,0.0
1968,167,0.0
1968,170,0.0
1968,180,75.0
1968,183,0.0
1968,187,56.0
1968,190,0.0
1968,191,12.0
1968,194,3.0
1968,195,20.0
1968,196,45.0
1969,6,7.0
1969,66,7.0
1969,167,0.0
1969,180,59.0
1969,182,68.0
1969,183,0.0
1969,187,49.0
1969,189,0.0
1969,191,0.0
1969,196,85.0
1969,197,0.0
1970,6,76.0
1970,25,0.0
1970,32,70.0
1970,34,35.0
1970,37,55.0
1970,63,3.0
1970,66,25.0
1970,82,24.0
1970,85,0.0
1970,86,0.0
1970,187,36.0
1970,198,0.0
1971,1,13.0
1971,6,44.0
1971,25,88.0
1971,34,7.0
1971,63,9.0
1971,66,42.0
1971,82,10.0
1971,85,0.0
1971,180,25.0
1971,199,0.0
1971,200,37.0
1971,201,0.0
1972,1,66.0
1972,6,47.0
1972,25,60.0
1972,32,61.0
1972,34,7.0
1972,37,15.0
1972,63,18.0
1972,66,14.0
1972,81,0.0
1972,82,12.0
1972,83,0.0
1972,84,0.0
1973,1,68.0
1973,6,14.0
1973,25,118.0
1973,32,107.0
1973,34,22.0
1973,37,14.0
1973,57,0.0
1973,58,9.0
1973,63,7.0
1973,66,13.0
1973,80,2.0
1973,81,1.0
1974,1,87.0
1974,6,90.0
1974,25,59.0
1974,26,1.0
1974,32,47.0
1974,34,46.0
1974,37,6.0
1974,57,0.0
1974,58,7.0
1974,63,3.0
1974,64,15.0
1974,66,10.0
1974,67,0.0
1974,73,0.0
1974,74,0.0
1974,76,0.0
1974,77,0.0
1974,78,0.0
1974,79,0.0
1974,80,4.0
1975,1,65.0
1975,3,6.0
1975,6,89.5
1975,25,32.0
1975,26,0.0
1975,32,9.0
1975,34,61.0
1975,37,9.0
1975,56,0.0
1975,57,1.0
1975,63,0.0
1975,64,33.0
1975,66,0.0
1975,67,2.0
