raceId,year,round,circuitId,date,safety_car
155,2001,15,14,2001-09-16,0
156,2001,16,19,2001-09-30,0
157,2001,17,22,2001-10-14,0
158,2000,1,1,2000-03-12,0
159,2000,2,18,2000-03-26,0
160,2000,3,21,2000-04-09,0
161,2000,4,9,2000-04-23,0
162,2000,5,4,2000-05-07,0
163,2000,6,20,2000-05-21,0
164,2000,7,6,2000-06-04,0
165,2000,8,7,2000-06-18,0
166,2000,9,8,2000-07-02,0
167,2000,10,70,2000-07-16,0
168,2000,11,10,2000-07-30,0
169,2000,12,11,2000-08-13,0
170,2000,13,13,2000-08-27,0
171,2000,14,14,2000-09-10,0
172,2000,15,19,2000-09-24,0
173,2000,16,22,2000-10-08,0
174,2000,17,2,2000-10-22,0
175,1999,1,1,1999-03-07,0
176,1999,2,18,1999-04-11,0
177,1999,3,21,1999-05-02,0
178,1999,4,6,1999-05-16,0
179,1999,5,4,1999-05-30,0
180,1999,6,7,1999-06-13,0
181,1999,7,8,1999-06-27,0
182,1999,8,9,1999-07-11,0
183,1999,9,70,1999-07-25,0
184,1999,10,10,1999-08-01,0
185,1999,11,11,1999-08-15,0
186,1999,12,13,1999-08-29,0
187,1999,13,14,1999-09-12,0
188,1999,14,20,1999-09-26,0
189,1999,15,2,1999-10-17,0
190,1999,16,22,1999-10-31,0
191,1998,1,1,1998-03-08,0
192,1998,2,18,1998-03-29,0
193,1998,3,25,1998-04-12,0
194,1998,4,21,1998-04-26,0
195,1998,5,4,1998-05-10,0
196,1998,6,6,1998-05-24,0
197,1998,7,7,1998-06-07,0
198,1998,8,8,1998-06-28,0
199,1998,9,9,1998-07-12,0
200,1998,10,70,1998-07-26,0
201,1998,11,10,1998-08-02,0
202,1998,12,11,1998-08-16,0
203,1998,13,13,1998-08-30,0
204,1998,14,14,1998-09-13,0
205,1998,15,20,1998-09-27,0
206,1998,16,22,1998-11-01,0
207,1997,1,1,1997-03-09,0
208,1997,2,18,1997-03-30,0
209,1997,3,25,1997-04-13,0
210,1997,4,21,1997-04-27,0
211,1997,5,6,1997-05-11,0
212,1997,6,4,1997-05-25,0
213,1997,7,7,1997-06-15,0
214,1997,8,8,1997-06-29,0
215,1997,9,9,1997-07-13,0
216,1997,10,10,1997-07-27,0
217,1997,11,11,1997-08-10,0
218,1997,12,13,1997-08-24,0
219,1997,13,14,1997-09-07,0
220,1997,14,70,1997-09-21,0
221,1997,15,20,1997-09-28,0
222,1997,16,22,1997-10-12,0
223,1997,17,26,1997-10-26,0
224,1996,1,1,1996-03-10,0
225,1996,2,18,1996-03-31,0
226,1996,3,25,1996-04-07,0
227,1996,4,20,1996-04-28,0
228,1996,5,21,1996-05-05,0
229,1996,6,6,1996-05-19,0
230,1996,7,4,1996-06-02,0
231,1996,8,7,1996-06-16,0
232,1996,9,8,1996-06-30,0
233,1996,10,9,1996-07-14,0
234,1996,11,10,1996-07-28,0
235,1996,12,11,1996-08-11,0
236,1996,13,13,1996-08-25,0
237,1996,14,14,1996-09-08,0
238,1996,15,27,1996-09-22,0
239,1996,16,22,1996-10-13,0
240,1995,1,18,1995-03-26,0
241,1995,2,25,1995-04-09,0
242,1995,3,21,1995-04-30,0
243,1995,4,4,1995-05-14,0
244,1995,5,6,1995-05-28,0
245,1995,6,7,1995-06-11,0
246,1995,7,8,1995-07-02,0
247,1995,8,9,1995-07-16,0
248,1995,9,10,1995-07-30,0
249,1995,10,11,1995-08-13,0
250,1995,11,13,1995-08-27,0
251,1995,12,14,1995-09-10,0
252,1995,13,27,1995-09-24,0
253,1995,14,20,1995-10-01,0
254,1995,15,28,1995-10-22,0
255,1995,16,22,1995-10-29,0
256,1995,17,29,1995-11-12,0
257,1994,1,18,1994-03-27,0
258,1994,2,28,1994-04-17,0
259,1994,3,21,1994-05-01,0
260,1994,4,6,1994-05-15,0
261,1994,5,4,1994-05-29,0
262,1994,6,7,1994-06-12,0
263,1994,7,8,1994-07-03,0
264,1994,8,9,1994-07-10,0
265,1994,9,10,1994-07-31,0
266,1994,10,11,1994-08-14,0
267,1994,11,13,1994-08-28,0
268,1994,12,14,1994-09-11,0
269,1994,13,27,1994-09-25,0
270,1994,14,26,1994-10-16,0
271,1994,15,22,1994-11-06,0
272,1994,16,29,1994-11-13,0
273,1993,1,30,1993-03-14,0
274,1993,2,18,1993-03-28,0
275,1993,3,31,1993-04-11,0
276,1993,4,21,1993-04-25,0
277,1993,5,4,1993-05-09,0
278,1993,6,6,1993-05-23,0
279,1993,7,7,1993-06-13,0
280,1993,8,8,1993-07-04,0
281,1993,9,9,1993-07-11,0
282,1993,10,10,1993-07-25,0
283,1993,11,11,1993-08-15,0
284,1993,12,13,1993-08-29,0
285,1993,13,14,1993-09-12,0
286,1993,14,27,1993-09-26,0
287,1993,15,22,1993-10-24,0
288,1993,16,29,1993-11-07,0
289,1992,1,30,1992-03-01,0
290,1992,2,32,1992-03-22,0
291,1992,3,18,1992-04-05,0
292,1992,4,4,1992-05-03,0
293,1992,5,21,1992-05-17,0
294,1992,6,6,1992-05-31,0
295,1992,7,7,1992-06-14,0
296,1992,8,8,1992-07-05,0
297,1992,9,9,1992-07-12,0
298,1992,10,10,1992-07-26,0
299,1992,11,11,1992-08-16,0
300,1992,12,13,1992-08-30,0
301,1992,13,14,1992-09-13,0
302,1992,14,27,1992-09-27,0
303,1992,15,22,1992-10-25,0
304,1992,16,29,1992-11-08,0
305,1991,1,33,1991-03-10,0
306,1991,2,18,1991-03-24,0
307,1991,3,21,1991-04-28,0
308,1991,4,6,1991-05-12,0
309,1991,5,7,1991-06-02,0
310,1991,6,32,1991-06-16,0
311,1991,7,8,1991-07-07,0
312,1991,8,9,1991-07-14,0
313,1991,9,10,1991-07-28,0
314,1991,10,11,1991-08-11,0
315,1991,11,13,1991-08-25,0
316,1991,12,14,1991-09-08,0
317,1991,13,27,1991-09-22,0
318,1991,14,4,1991-09-29,0
319,1991,15,22,1991-10-20,0
320,1991,16,29,1991-11-03,0
321,1990,1,33,1990-03-11,0
322,1990,2,18,1990-03-25,0
323,1990,3,21,1990-05-13,0
324,1990,4,6,1990-05-27,0
325,1990,5,7,1990-06-10,0
326,1990,6,32,1990-06-24,0
327,1990,7,34,1990-07-08,0
328,1990,8,9,1990-07-15,0
329,1990,9,10,1990-07-29,0
330,1990,10,11,1990-08-12,0
331,1990,11,13,1990-08-26,0
332,1990,12,14,1990-09-09,0
333,1990,13,27,1990-09-23,0
334,1990,14,26,1990-09-30,0
335,1990,15,22,1990-10-21,0
336,1990,16,29,1990-11-04,0
337,2010,1,3,2010-03-14,0
338,2010,2,1,2010-03-28,0
339,2010,3,2,2010-04-04,0
340,2010,4,17,2010-04-18,0
341,2010,5,4,2010-05-09,0
342,2010,6,6,2010-05-16,0
343,2010,7,5,2010-05-30,0
344,2010,8,7,2010-06-13,0
345,2010,9,12,2010-06-27,0
346,2010,10,9,2010-07-11,0
347,2010,11,10,2010-07-25,0
348,2010,12,11,2010-08-01,0
349,2010,13,13,2010-08-29,0
350,2010,14,14,2010-09-12,0
351,2010,15,15,2010-09-26,0
352,2010,16,22,2010-10-10,0
353,2010,17,35,2010-10-24,0
354,2010,18,18,2010-11-07,0
355,2010,19,24,2010-11-14,0
356,1989,1,36,1989-03-26,0
357,1989,2,21,1989-04-23,0
358,1989,3,6,1989-05-07,0
359,1989,4,32,1989-05-28,0
360,1989,5,33,1989-06-04,0
361,1989,6,7,1989-06-18,0
362,1989,7,34,1989-07-09,0
363,1989,8,9,1989-07-16,0
364,1989,9,10,1989-07-30,0
365,1989,10,11,1989-08-13,0
366,1989,11,13,1989-08-27,0
367,1989,12,14,1989-09-10,0
368,1989,13,27,1989-09-24,0
369,1989,14,26,1989-10-01,0
370,1989,15,22,1989-10-22,0
371,1989,16,29,1989-11-05,0
372,1988,1,36,1988-04-03,0
373,1988,2,21,1988-05-01,0
374,1988,3,6,1988-05-15,0
375,1988,4,32,1988-05-29,0
376,1988,5,7,1988-06-12,0
377,1988,6,37,1988-06-19,0
378,1988,7,34,1988-07-03,0
379,1988,8,9,1988-07-10,0
380,1988,9,10,1988-07-24,0
381,1988,10,11,1988-08-07,0
382,1988,11,13,1988-08-28,0
383,1988,12,14,1988-09-11,0
384,1988,13,27,1988-09-25,0
385,1988,14,26,1988-10-02,0
386,1988,15,22,1988-10-30,0
387,1988,16,29,1988-11-13,0
388,1987,1,36,1987-04-12,0
389,1987,2,21,1987-05-03,0
390,1987,3,13,1987-05-17,0
391,1987,4,6,1987-05-31,0
392,1987,5,37,1987-06-21,0
393,1987,6,34,1987-07-05,0
394,1987,7,9,1987-07-12,0
395,1987,8,10,1987-07-26,0
396,1987,9,11,1987-08-09,0
397,1987,10,70,1987-08-16,0
398,1987,11,14,1987-09-06,0
399,1987,12,27,1987-09-20,0
400,1987,13,26,1987-09-27,0
401,1987,14,32,1987-10-18,0
402,1987,15,22,1987-11-01,0
403,1987,16,29,1987-11-15,0
404,1986,1,36,1986-03-23,0
405,1986,2,26,1986-04-13,0
406,1986,3,21,1986-04-27,0
407,1986,4,6,1986-05-11,0
408,1986,5,13,1986-05-25,0
409,1986,6,7,1986-06-15,0
410,1986,7,37,1986-06-22,0
411,1986,8,34,1986-07-06,0
412,1986,9,38,1986-07-13,0
413,1986,10,10,1986-07-27,0
414,1986,11,11,1986-08-10,0
415,1986,12,70,1986-08-17,0
416,1986,13,14,1986-09-07,0
417,1986,14,27,1986-09-21,0
418,1986,15,32,1986-10-12,0
419,1986,16,29,1986-10-26,0
420,1985,1,36,1985-04-07,0
421,1985,2,27,1985-04-21,0
422,1985,3,21,1985-05-05,0
423,1985,4,6,1985-05-19,0
424,1985,5,7,1985-06-16,0
425,1985,6,37,1985-06-23,0
426,1985,7,34,1985-07-07,0
427,1985,8,9,1985-07-21,0
428,1985,9,20,1985-08-04,0
429,1985,10,70,1985-08-18,0
430,1985,11,39,1985-08-25,0
431,1985,12,14,1985-09-08,0
432,1985,13,13,1985-09-15,0
433,1985,14,38,1985-10-06,0
434,1985,15,30,1985-10-19,0
435,1985,16,29,1985-11-03,0
436,1984,1,36,1984-03-25,0
437,1984,2,30,1984-04-07,0
438,1984,3,40,1984-04-29,0
439,1984,4,21,1984-05-06,0
440,1984,5,41,1984-05-20,0
441,1984,6,6,1984-06-03,0
442,1984,7,7,1984-06-17,0
443,1984,8,37,1984-06-24,0
444,1984,9,42,1984-07-08,0
445,1984,10,38,1984-07-22,0
446,1984,11,10,1984-08-05,0
447,1984,12,70,1984-08-19,0
448,1984,13,39,1984-08-26,0
449,1984,14,14,1984-09-09,0
450,1984,15,20,1984-10-07,0
451,1984,16,27,1984-10-21,0
452,1983,1,36,1983-03-13,0
453,1983,2,43,1983-03-27,0
454,1983,3,34,1983-04-17,0
455,1983,4,21,1983-05-01,0
456,1983,5,6,1983-05-15,0
457,1983,6,13,1983-05-22,0
458,1983,7,37,1983-06-05,0
459,1983,8,7,1983-06-12,0
460,1983,9,9,1983-07-16,0
461,1983,10,10,1983-08-07,0
462,1983,11,70,1983-08-14,0
463,1983,12,39,1983-08-28,0
464,1983,13,14,1983-09-11,0
465,1983,14,38,1983-09-25,0
466,1983,15,30,1983-10-15,0
467,1982,1,30,1982-01-23,0
468,1982,2,36,1982-03-21,0
469,1982,3,43,1982-04-04,0
470,1982,4,21,1982-04-25,0
471,1982,5,40,1982-05-09,0
472,1982,6,6,1982-05-23,0
473,1982,7,37,1982-06-06,0
474,1982,8,7,1982-06-13,0
475,1982,9,39,1982-07-03,0
476,1982,10,38,1982-07-18,0
477,1982,11,34,1982-07-25,0
478,1982,12,10,1982-08-08,0
479,1982,13,70,1982-08-15,0
480,1982,14,41,1982-08-29,0
481,1982,15,14,1982-09-12,0
482,1982,16,44,1982-09-25,0
483,1981,1,43,1981-03-15,0
484,1981,2,36,1981-03-29,0
485,1981,3,25,1981-04-12,0
486,1981,4,21,1981-05-03,0
487,1981,5,40,1981-05-17,0
488,1981,6,6,1981-05-31,0
489,1981,7,45,1981-06-21,0
490,1981,8,41,1981-07-05,0
491,1981,9,9,1981-07-18,0
492,1981,10,10,1981-08-02,0
493,1981,11,70,1981-08-16,0
494,1981,12,39,1981-08-30,0
495,1981,13,14,1981-09-13,0
496,1981,14,7,1981-09-27,0
497,1981,15,44,1981-10-17,0
498,1980,1,25,1980-01-13,0
499,1980,2,18,1980-01-27,0
500,1980,3,30,1980-03-01,0
501,1980,4,43,1980-03-30,0
502,1980,5,40,1980-05-04,0
503,1980,6,6,1980-05-18,0
504,1980,7,34,1980-06-29,0
505,1980,8,38,1980-07-13,0
506,1980,9,10,1980-08-10,0
507,1980,10,70,1980-08-17,0
508,1980,11,39,1980-08-31,0
509,1980,12,21,1980-09-14,0
510,1980,13,7,1980-09-28,0
511,1980,14,46,1980-10-05,0
512,1979,1,25,1979-01-21,0
513,1979,2,18,1979-02-04,0
514,1979,3,30,1979-03-03,0
515,1979,4,43,1979-04-08,0
516,1979,5,45,1979-04-29,0
517,1979,6,40,1979-05-13,0
518,1979,7,6,1979-05-27,0
519,1979,8,41,1979-07-01,0
520,1979,9,9,1979-07-14,0
521,1979,10,10,1979-07-29,0
522,1979,11,70,1979-08-12,0
523,1979,12,39,1979-08-26,0
524,1979,13,14,1979-09-09,0
525,1979,14,7,1979-09-30,0
526,1979,15,46,1979-10-07,0
