driverId,avg_finish,finish_std,avg_laptime,laptime_std,avg_grid_delta,avg_points,race_count,cluster,cluster_label
1,4.7535816618911175,5.195269738144164,98.7773064004848,18.516944575183725,-0.4699140401146132,13.79512893982808,349,1,Elite
2,10.380681818181818,5.209603394930128,94.18620807319188,18.396243400296267,0.8693181818181818,1.4715909090909092,176,1,Elite
3,7.844221105527638,5.87761154260937,101.25292427430696,24.94731625290684,-1.085427135678392,8.00251256281407,199,1,Elite
4,8.228426395939087,5.851739400043292,98.68111778693438,22.031147229247388,0.2461928934010152,5.911167512690355,394,1,Elite
5,13.05607476635514,5.5640893331761685,103.4629232352126,32.47038086498788,0.6074766355140186,0.9813084112149532,107,0,Midfield
6,13.17142857142857,3.6095112451094296,98.41768695272616,15.626998609300724,0.4857142857142857,0.2571428571428571,35,0,Midfield
7,13.916666666666666,4.138017448706217,97.51493520447646,13.199488581315771,0.5833333333333334,0.1666666666666666,24,0,Midfield
8,8.088757396449704,5.8809498006852206,96.50401957469086,18.824055292592973,-0.6715976331360947,5.538461538461538,338,1,Elite
9,10.53061224489796,5.981421548846325,97.3275064917522,16.58965948834553,-0.9285714285714286,2.795918367346939,98,1,Elite
10,14.931818181818182,5.566309688902432,104.45268372178292,25.306158458939645,2.113636363636364,0.5568181818181818,88,0,Midfield
11,13.333333333333334,4.5944017164134605,93.44164568603787,16.508943281004772,1.1264367816091954,0.5057471264367817,87,0,Midfield
12,13.23076923076923,5.101432679612208,96.49945789246134,12.398844177996263,0.3076923076923077,0.7307692307692307,26,0,Midfield
13,8.593869731800766,5.202421844151375,97.87039409391916,18.90373851399101,-0.2605363984674329,4.471264367816092,261,1,Elite
14,8.976415094339623,6.03971142537138,92.5679572450368,13.894964882098156,-1.0141509433962264,2.2264150943396226,212,1,Elite
15,11.848101265822784,5.7771216095385,97.40378576077386,21.9391233095347,-1.3628691983122363,1.040084388185654,237,1,Elite
16,14.223140495867767,4.689505310274894,103.15794620722843,23.356782788314835,0.5371900826446281,1.024793388429752,121,0,Midfield
17,9.52153110047847,6.327653407422123,97.31159970830552,21.92749464551666,-1.4210526315789471,5.002392344497608,209,1,Elite
18,9.414141414141412,5.82227218522575,97.39513317362736,17.68419798905679,0.4511784511784512,4.124579124579125,297,1,Elite
19,16.0,3.070597894314953,98.93726639419592,13.704874046989463,0.8636363636363636,0.0,22,0,Midfield
20,6.721649484536083,6.09534972780902,100.33479776633452,21.17194413826895,-0.5257731958762887,10.642611683848797,291,1,Elite
21,10.54337899543379,5.491585681809736,93.67834684487973,14.746400030835424,0.817351598173516,1.2557077625570776,219,1,Elite
22,9.390977443609025,6.066094558440558,94.26362518092792,15.983985972410904,-0.7631578947368421,2.3533834586466167,266,1,Elite
23,9.401162790697674,5.953680746352173,92.61305147729422,14.84770226985477,-1.5813953488372092,1.912790697674419,172,1,Elite
24,15.342465753424657,4.670293763310446,100.8247796801954,22.85804366868758,1.36986301369863,0.3424657534246575,73,0,Midfield
25,10.984615384615385,5.337052989748613,94.68328821896334,13.958757067108987,1.2461538461538462,0.6923076923076923,65,1,Elite
26,14.68,3.91279950930277,93.3652222868633,17.667670897611725,2.12,0.0,25,0,Midfield
27,15.073170731707316,3.4306722657697795,93.07585065034708,11.914622362722069,3.1951219512195124,0.0975609756097561,41,0,Midfield
29,18.36842105263158,2.650168261236538,105.0347052399718,23.919330427009548,3.3684210526315788,0.0,19,0,Midfield
30,6.275862068965517,6.435946409039377,94.15469834555948,17.333336914840913,-1.0043103448275863,5.443965517241379,232,1,Elite
31,8.164835164835164,6.465745185658092,88.84411506409684,11.782643819059968,-3.120879120879121,3.3736263736263736,91,1,Elite
32,13.093023255813954,4.48178298643983,93.77996064582398,15.471938646403274,0.1860465116279069,0.2790697674418604,43,0,Midfield
33,14.17142857142857,3.7060023990160342,92.9195008327236,11.29084980900144,3.571428571428572,0.2,35,0,Midfield
35,9.898089171974522,5.455160710429418,91.84752740996808,12.457546426459968,-0.7643312101910829,1.4585987261146496,157,1,Elite
37,14.770833333333334,5.194084016641417,98.93620401323734,23.7699125188514,1.5625,0.3541666666666667,96,0,Midfield
38,14.5,2.5055493963954847,98.01569471681356,16.07612299536171,2.9,0.0,10,0,Midfield
39,18.288888888888888,4.27796798737556,103.29349825712364,24.659340777606555,2.311111111111111,0.1111111111111111,45,0,Midfield
40,15.9,4.094712037087183,93.18738500602544,11.432032037892744,2.1,0.3,10,0,Midfield
41,13.17142857142857,4.553510050665596,96.53215046616808,14.505528964387054,1.542857142857143,0.0857142857142857,35,0,Midfield
42,12.176470588235292,4.186814035123352,96.77007909364332,17.870018829558486,0.2941176470588235,0.4705882352941176,17,0,Midfield
43,11.576923076923077,3.961545929791317,88.11451604103188,9.489311747545036,-0.3076923076923077,0.5,26,1,Elite
44,11.97457627118644,4.729362481036844,94.18051508462644,14.746488978166306,-0.1440677966101695,0.4152542372881356,118,1,Elite
45,15.727272727272728,2.053821272209882,90.08345166149186,7.858865531180977,0.9090909090909092,0.0,11,0,Midfield
46,16.266666666666666,1.8695555876298768,92.0780183822278,8.859732070867512,2.066666666666667,0.0,15,0,Midfield
47,15.263157894736842,3.5093859111936108,92.85562470270789,10.978434663510804,3.473684210526316,0.0526315789473684,19,0,Midfield
48,13.090909090909092,4.171058291696158,94.00385562318222,12.35992023323579,6.242424242424242,0.1515151515151515,33,0,Midfield
49,10.319327731092438,6.054740086108253,94.8231031038269,16.585635732479766,-1.680672268907563,1.2773109243697478,119,1,Elite
